Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date,Captain
New Zealand,lost,5 wickets,9,won,1st,Sri Lanka,Colombo (RPS),7/25/2001,
Pakistan,lost,5 wickets,9,won,1st,Australia,Brisbane,1/22/2010,
Sri Lanka,lost,5 wickets,9,won,1st,Australia,Adelaide,1/26/2006,
Sri Lanka,lost,5 wickets,9,won,1st,Australia,Colombo (RPS),2/25/2004,
Sri Lanka,won,5 wickets,9,lost,2nd,New Zealand,Colombo (RPS),7/25/2001,
Australia,lost,5 wickets,10,lost,1st,West Indies,Kingstown,3/18/2012,
Australia,won,5 wickets,10,lost,2nd,New Zealand,Melbourne,2/4/2007,Stephen Fleming (NZ)
England,lost,5 wickets,10,lost,1st,South Africa,Durban,1/17/1996,
England,won,5 wickets,10,lost,2nd,South Africa,Bloemfontein,1/11/1996,
India,lost,5 wickets,10,won,1st,New Zealand,Nottingham,6/12/1999,Stephen Fleming (NZ)
India,lost,5 wickets,10,won,1st,Pakistan,Toronto,9/20/1998,
India,lost,5 wickets,10,won,1st,Sri Lanka,Margao,12/28/1997,
New Zealand,lost,5 wickets,10,won,1st,Australia,Melbourne,2/4/2007,Stephen Fleming (NZ)
New Zealand,won,5 wickets,10,lost,2nd,India,Nottingham,6/12/1999,Stephen Fleming (NZ)
New Zealand,won,5 wickets,10,won,2nd,South Africa,St George's,4/14/2007,Stephen Fleming (NZ)
Pakistan,won,5 wickets,10,lost,2nd,India,Toronto,9/20/1998,
South Africa,lost,5 wickets,10,lost,1st,New Zealand,St George's,4/14/2007,Stephen Fleming (NZ)
South Africa,lost,5 wickets,10,won,1st,England,Bloemfontein,1/11/1996,
South Africa,won,5 wickets,10,won,2nd,England,Durban,1/17/1996,
Sri Lanka,won,5 wickets,10,lost,2nd,India,Margao,12/28/1997,
West Indies,won,5 wickets,10,won,2nd,Australia,Kingstown,3/18/2012,
Australia,won,5 wickets,11,lost,2nd,Pakistan,Peshawar,11/8/1998,
England,lost,5 wickets,11,won,1st,West Indies,Kingstown,4/4/1998,
India,won,5 wickets,11,won,2nd,West Indies,Visakhapatnam,12/2/2011,
New Zealand,lost,5 wickets,11,lost,1st,South Africa,Centurion,11/6/2005,Stephen Fleming (NZ)
Pakistan,lost,5 wickets,11,won,1st,Australia,Peshawar,11/8/1998,
South Africa,won,5 wickets,11,won,2nd,New Zealand,Centurion,11/6/2005,Stephen Fleming (NZ)
South Africa,won,5 wickets,11,won,2nd,West Indies,Lahore,11/3/1997,
West Indies,lost,5 wickets,11,lost,1st,India,Visakhapatnam,12/2/2011,
West Indies,lost,5 wickets,11,lost,1st,South Africa,Lahore,11/3/1997,
West Indies,won,5 wickets,11,lost,2nd,England,Kingstown,4/4/1998,
England,lost,5 wickets,12,lost,1st,West Indies,Gros Islet,5/1/2004,
India,lost,5 wickets,12,lost,1st,Sri Lanka,Dhaka,1/5/2010,
New Zealand,won,5 wickets,12,won,2nd,Sri Lanka,Christchurch,1/3/2006,Daniel Vettori (NZ)
Sri Lanka,lost,5 wickets,12,lost,1st,New Zealand,Christchurch,1/3/2006,Daniel Vettori (NZ)
Sri Lanka,won,5 wickets,12,won,2nd,India,Dhaka,1/5/2010,
West Indies,won,5 wickets,12,won,2nd,England,Gros Islet,5/1/2004,
Australia,won,5 wickets,13,lost,2nd,New Zealand,Sharjah,4/21/1998,Stephen Fleming (NZ)
New Zealand,lost,5 wickets,13,won,1st,Australia,Sharjah,4/21/1998,Stephen Fleming (NZ)
New Zealand,lost,5 wickets,13,won,1st,Sri Lanka,Colombo (RPS),3/29/2011,Daniel Vettori (NZ)
New Zealand,won,5 wickets,13,lost,2nd,Pakistan,Johannesburg,10/3/2009,Daniel Vettori (NZ)
Pakistan,lost,5 wickets,13,won,1st,New Zealand,Johannesburg,10/3/2009,Daniel Vettori (NZ)
South Africa,won,5 wickets,13,lost,2nd,West Indies,Durban,2/1/2008,
Sri Lanka,won,5 wickets,13,lost,2nd,New Zealand,Colombo (RPS),3/29/2011,Daniel Vettori (NZ)
West Indies,lost,5 wickets,13,won,1st,South Africa,Durban,2/1/2008,
Australia,lost,5 wickets,14,won,1st,India,Ahmedabad,3/24/2011,
India,lost,5 wickets,14,lost,1st,Sri Lanka,Ahmedabad,11/6/2005,
India,won,5 wickets,14,lost,2nd,Australia,Ahmedabad,3/24/2011,
India,won,5 wickets,14,won,2nd,Pakistan,Lahore,2/13/2006,
India,won,5 wickets,14,won,2nd,West Indies,Ahmedabad,11/15/2002,
New Zealand,lost,5 wickets,14,lost,1st,Sri Lanka,Dambulla,5/13/2003,Stephen Fleming (NZ)
Pakistan,lost,5 wickets,14,lost,1st,India,Lahore,2/13/2006,
Sri Lanka,won,5 wickets,14,won,2nd,India,Ahmedabad,11/6/2005,
Sri Lanka,won,5 wickets,14,won,2nd,New Zealand,Dambulla,5/13/2003,Stephen Fleming (NZ)
West Indies,lost,5 wickets,14,lost,1st,India,Ahmedabad,11/15/2002,
Australia,lost,5 wickets,15,won,1st,South Africa,Brisbane,1/11/1998,
England,lost,5 wickets,15,lost,1st,India,Mohali,1/23/2013,
India,won,5 wickets,15,won,2nd,England,Mohali,1/23/2013,
India,won,5 wickets,15,won,2nd,South Africa,Mumbai,11/28/2005,
South Africa,lost,5 wickets,15,lost,1st,India,Mumbai,11/28/2005,
South Africa,won,5 wickets,15,lost,2nd,Australia,Brisbane,1/11/1998,
England,won,5 wickets,16,lost,2nd,Pakistan,Karachi,10/24/2000,
England,won,5 wickets,16,won,2nd,West Indies,Bridgetown,5/5/2004,
Pakistan,lost,5 wickets,16,won,1st,England,Karachi,10/24/2000,
West Indies,lost,5 wickets,16,lost,1st,England,Bridgetown,5/5/2004,
England,lost,5 wickets,17,won,1st,Sri Lanka,Lord's,8/20/1998,
India,lost,5 wickets,17,won,1st,South Africa,Sharjah,4/17/1996,
South Africa,won,5 wickets,17,lost,2nd,India,Sharjah,4/17/1996,
Sri Lanka,won,5 wickets,17,lost,2nd,England,Lord's,8/20/1998,
India,won,5 wickets,18,lost,2nd,Pakistan,Guwahati,11/5/2007,
Pakistan,lost,5 wickets,18,won,1st,India,Guwahati,11/5/2007,
England,lost,5 wickets,19,lost,1st,New Zealand,Lord's,5/31/2013,Brendon McCullum (NZ)
England,won,5 wickets,19,lost,2nd,Sri Lanka,Colombo (RPS),10/10/2007,
New Zealand,won,5 wickets,19,won,2nd,England,Lord's,5/31/2013,Brendon McCullum (NZ)
Sri Lanka,lost,5 wickets,19,won,1st,England,Colombo (RPS),10/10/2007,
England,won,5 wickets,20,lost,2nd,Pakistan,Manchester,8/29/1996,
Pakistan,lost,5 wickets,20,won,1st,England,Manchester,8/29/1996,
India,won,5 wickets,21,lost,2nd,Sri Lanka,Margao,2/14/2007,
Sri Lanka,lost,5 wickets,21,won,1st,India,Margao,2/14/2007,
Pakistan,lost,5 wickets,22,won,1st,Sri Lanka,Dhaka,3/8/2014,
Sri Lanka,won,5 wickets,22,lost,2nd,Pakistan,Dhaka,3/8/2014,
India,won,5 wickets,23,won,2nd,West Indies,Kanpur,11/27/2013,
West Indies,lost,5 wickets,23,lost,1st,India,Kanpur,11/27/2013,
New Zealand,won,5 wickets,24,lost,2nd,South Africa,Napier,3/2/2004,Stephen Fleming (NZ)
New Zealand,won,5 wickets,24,won,2nd,West Indies,Cardiff,7/3/2004,Stephen Fleming (NZ)
South Africa,lost,5 wickets,24,won,1st,New Zealand,Napier,3/2/2004,Stephen Fleming (NZ)
West Indies,lost,5 wickets,24,lost,1st,New Zealand,Cardiff,7/3/2004,Stephen Fleming (NZ)
Australia,lost,5 wickets,25,won,1st,India,Melbourne,2/10/2008,
India,won,5 wickets,25,lost,2nd,Australia,Melbourne,2/10/2008,
Australia,won,5 wickets,26,won,2nd,New Zealand,Napier,3/1/2000,Stephen Fleming (NZ)
New Zealand,lost,5 wickets,26,lost,1st,Australia,Napier,3/1/2000,Stephen Fleming (NZ)
Australia,lost,5 wickets,28,won,1st,New Zealand,Cardiff,5/20/1999,Stephen Fleming (NZ)
New Zealand,lost,5 wickets,28,won,1st,South Africa,Cape Town,12/2/2007,Daniel Vettori (NZ)
New Zealand,won,5 wickets,28,lost,2nd,Australia,Cardiff,5/20/1999,Stephen Fleming (NZ)
South Africa,won,5 wickets,28,lost,2nd,New Zealand,Cape Town,12/2/2007,Daniel Vettori (NZ)
New Zealand,won,5 wickets,29,lost,2nd,South Africa,Christchurch,2/17/2004,Stephen Fleming (NZ)
South Africa,lost,5 wickets,29,won,1st,New Zealand,Christchurch,2/17/2004,Stephen Fleming (NZ)
South Africa,won,5 wickets,29,lost,2nd,Sri Lanka,Perth,1/31/2006,
Sri Lanka,lost,5 wickets,29,won,1st,South Africa,Perth,1/31/2006,
India,won,5 wickets,30,lost,2nd,Pakistan,Lahore,3/21/2004,
Pakistan,lost,5 wickets,30,won,1st,India,Lahore,3/21/2004,
Australia,won,5 wickets,31,lost,2nd,West Indies,Sydney,2/8/2013,
West Indies,lost,5 wickets,31,won,1st,Australia,Sydney,2/8/2013,
India,lost,5 wickets,33,won,1st,Pakistan,Hyderabad (Sind),9/28/1997,
Pakistan,won,5 wickets,33,lost,2nd,India,Hyderabad (Sind),9/28/1997,
Pakistan,lost,5 wickets,34,won,1st,South Africa,Karachi,2/29/1996,
South Africa,won,5 wickets,34,lost,2nd,Pakistan,Karachi,2/29/1996,
India,lost,5 wickets,37,lost,1st,Pakistan,Toronto,9/21/1997,
India,lost,5 wickets,37,won,1st,Sri Lanka,Sharjah,10/20/2000,
India,won,5 wickets,37,won,2nd,New Zealand,Auckland,1/16/1999,Dion  Nash (NZ)
New Zealand,lost,5 wickets,37,lost,1st,India,Auckland,1/16/1999,Dion  Nash (NZ)
Pakistan,won,5 wickets,37,won,2nd,India,Toronto,9/21/1997,
Sri Lanka,won,5 wickets,37,lost,2nd,India,Sharjah,10/20/2000,
Pakistan,won,5 wickets,38,lost,2nd,Sri Lanka,Sharjah,11/4/2001,
Sri Lanka,lost,5 wickets,38,won,1st,Pakistan,Sharjah,11/4/2001,
India,won,5 wickets,39,lost,2nd,Pakistan,Sharjah,3/23/2000,
Pakistan,lost,5 wickets,39,won,1st,India,Sharjah,3/23/2000,
Australia,won,5 wickets,40,lost,2nd,Pakistan,Dubai (DSC),10/10/2014,
New Zealand,lost,5 wickets,40,lost,1st,South Africa,Auckland,3/3/2012,Brendon McCullum (NZ)
Pakistan,lost,5 wickets,40,won,1st,Australia,Dubai (DSC),10/10/2014,
South Africa,won,5 wickets,40,won,2nd,New Zealand,Auckland,3/3/2012,Brendon McCullum (NZ)
England,won,5 wickets,44,lost,2nd,India,Jamshedpur,4/12/2006,
India,lost,5 wickets,44,won,1st,England,Jamshedpur,4/12/2006,
Pakistan,lost,5 wickets,45,lost,1st,Sri Lanka,Galle,7/5/2000,
Sri Lanka,won,5 wickets,45,won,2nd,Pakistan,Galle,7/5/2000,
India,lost,5 wickets,47,won,1st,Pakistan,Kanpur,4/15/2005,
Pakistan,won,5 wickets,47,lost,2nd,India,Kanpur,4/15/2005,
Pakistan,won,5 wickets,48,lost,2nd,Sri Lanka,Abu Dhabi,5/18/2007,
South Africa,won,5 wickets,48,won,2nd,Sri Lanka,Bloemfontein,1/14/2001,
Sri Lanka,lost,5 wickets,48,lost,1st,South Africa,Bloemfontein,1/14/2001,
Sri Lanka,lost,5 wickets,48,won,1st,Pakistan,Abu Dhabi,5/18/2007,
New Zealand,lost,5 wickets,51,lost,1st,Sri Lanka,Dhaka,10/26/1998,Stephen Fleming (NZ)
Sri Lanka,won,5 wickets,51,won,2nd,New Zealand,Dhaka,10/26/1998,Stephen Fleming (NZ)
New Zealand,lost,5 wickets,53,lost,1st,South Africa,Centurion,9/24/2009,Daniel Vettori (NZ)
South Africa,won,5 wickets,53,won,2nd,New Zealand,Centurion,9/24/2009,Daniel Vettori (NZ)
England,lost,5 wickets,55,won,1st,Sri Lanka,Dambulla,3/23/2001,
India,lost,5 wickets,55,won,1st,Sri Lanka,Mumbai,5/17/1997,
Sri Lanka,won,5 wickets,55,lost,2nd,England,Dambulla,3/23/2001,
Sri Lanka,won,5 wickets,55,lost,2nd,India,Mumbai,5/17/1997,
England,lost,5 wickets,56,won,1st,Sri Lanka,Faisalabad,3/9/1996,
Sri Lanka,won,5 wickets,56,lost,2nd,England,Faisalabad,3/9/1996,
India,won,5 wickets,62,lost,2nd,West Indies,Gwalior,2/21/1996,
West Indies,lost,5 wickets,62,won,1st,India,Gwalior,2/21/1996,
India,won,5 wickets,63,lost,2nd,Sri Lanka,Vadodara,11/12/2005,
Sri Lanka,lost,5 wickets,63,won,1st,India,Vadodara,11/12/2005,
England,won,5 wickets,75,won,2nd,New Zealand,Auckland,2/23/2013,Brendon McCullum (NZ)
New Zealand,lost,5 wickets,75,lost,1st,England,Auckland,2/23/2013,Brendon McCullum (NZ)
New Zealand,lost,5 wickets,75,won,1st,South Africa,Faisalabad,2/20/1996,Lee Germon (NZ)
South Africa,won,5 wickets,75,lost,2nd,New Zealand,Faisalabad,2/20/1996,Lee Germon (NZ)
India,won,5 wickets,105,won,2nd,Pakistan,Multan,2/16/2006,
Pakistan,lost,5 wickets,105,lost,1st,India,Multan,2/16/2006,
Australia,won,5 wickets,108,lost,2nd,India,Perth,2/1/2004,
India,lost,5 wickets,108,won,1st,Australia,Perth,2/1/2004,
Pakistan,won,5 wickets,117,lost,2nd,West Indies,Johannesburg,9/23/2009,
West Indies,lost,5 wickets,117,won,1st,Pakistan,Johannesburg,9/23/2009,
Australia,won,5 wickets,132,lost,2nd,Sri Lanka,Colombo (RPS),8/20/2011,
Sri Lanka,lost,5 wickets,132,won,1st,Australia,Colombo (RPS),8/20/2011,
Australia,won,5 wickets,139,lost,2nd,India,Sydney,1/14/2000,
India,lost,5 wickets,139,won,1st,Australia,Sydney,1/14/2000,
India,lost,5 wickets,139,won,1st,New Zealand,Christchurch,1/1/2003,Stephen Fleming (NZ)
New Zealand,won,5 wickets,139,lost,2nd,India,Christchurch,1/1/2003,Stephen Fleming (NZ)
South Africa,won,5 wickets,141,won,2nd,Sri Lanka,Bloemfontein,4/19/1998,
Sri Lanka,lost,5 wickets,141,lost,1st,South Africa,Bloemfontein,4/19/1998,
Australia,won,5 wickets,152,lost,2nd,New Zealand,Auckland,2/19/2000,Stephen Fleming (NZ)
New Zealand,lost,5 wickets,152,won,1st,Australia,Auckland,2/19/2000,Stephen Fleming (NZ)
Australia,won,5 wickets,153,won,2nd,South Africa,Cape Town,4/14/2000,
South Africa,lost,5 wickets,153,lost,1st,Australia,Cape Town,4/14/2000,
Australia,lost,50 runs,0,won,2nd,Sri Lanka,Colombo (RPS),9/7/1996,
Australia,won,50 runs,0,lost,1st,New Zealand,Dunedin,2/23/2000,Stephen Fleming (NZ)
Australia,won,50 runs,0,lost,1st,Sri Lanka,Galle,8/22/1999,
Australia,won,50 runs,0,lost,1st,West Indies,Brisbane,2/14/2010,
Australia,won,50 runs,0,lost,1st,West Indies,Johannesburg,9/26/2009,
Australia,won,50 runs,0,won,1st,India,Adelaide,2/17/2008,
India,lost,50 runs,0,lost,2nd,Australia,Adelaide,2/17/2008,
India,won,50 runs,0,lost,1st,Sri Lanka,Dhaka,3/13/2012,
New Zealand,lost,50 runs,0,won,2nd,Australia,Dunedin,2/23/2000,Stephen Fleming (NZ)
South Africa,won,50 runs,0,won,1st,West Indies,Centurion,2/7/1999,
Sri Lanka,lost,50 runs,0,won,2nd,Australia,Galle,8/22/1999,
Sri Lanka,lost,50 runs,0,won,2nd,India,Dhaka,3/13/2012,
Sri Lanka,won,50 runs,0,lost,1st,Australia,Colombo (RPS),9/7/1996,
Sri Lanka,won,50 runs,0,won,1st,West Indies,Dambulla,8/2/2005,
West Indies,lost,50 runs,0,lost,2nd,South Africa,Centurion,2/7/1999,
West Indies,lost,50 runs,0,lost,2nd,Sri Lanka,Dambulla,8/2/2005,
West Indies,lost,50 runs,0,won,2nd,Australia,Brisbane,2/14/2010,
West Indies,lost,50 runs,0,won,2nd,Australia,Johannesburg,9/26/2009,
Australia,lost,51 runs,0,lost,2nd,Sri Lanka,Sydney,1/22/2006,
Australia,lost,51 runs,0,won,2nd,New Zealand,Wellington,3/13/2010,Daniel Vettori (NZ)
Australia,won,51 runs,0,won,1st,England,Brisbane,1/30/2011,
England,lost,51 runs,0,lost,2nd,Australia,Brisbane,1/30/2011,
England,lost,51 runs,0,won,2nd,New Zealand,Lord's,6/28/2008,Daniel Vettori (NZ)
India,lost,51 runs,0,lost,2nd,New Zealand,Bulawayo,8/26/2005,Stephen Fleming (NZ)
India,lost,51 runs,0,lost,2nd,Sri Lanka,Brisbane,2/21/2012,
India,lost,51 runs,0,won,2nd,Pakistan,Toronto,9/13/1998,
India,won,51 runs,0,lost,1st,Sri Lanka,Pune,3/30/1999,
India,won,51 runs,0,won,1st,Pakistan,Abu Dhabi,4/19/2006,
New Zealand,lost,51 runs,0,lost,2nd,Pakistan,Faisalabad,12/3/2003,
New Zealand,lost,51 runs,0,lost,2nd,Pakistan,Sharjah,4/11/2002,
New Zealand,won,51 runs,0,lost,1st,Australia,Wellington,3/13/2010,Daniel Vettori (NZ)
New Zealand,won,51 runs,0,lost,1st,England,Lord's,6/28/2008,Daniel Vettori (NZ)
New Zealand,won,51 runs,0,lost,1st,Pakistan,Mohali,10/25/2006,Stephen Fleming (NZ)
New Zealand,won,51 runs,0,won,1st,India,Bulawayo,8/26/2005,Stephen Fleming (NZ)
Pakistan,lost,51 runs,0,lost,2nd,India,Abu Dhabi,4/19/2006,
Pakistan,lost,51 runs,0,lost,2nd,Sri Lanka,Sharjah,4/7/1997,
Pakistan,lost,51 runs,0,won,2nd,New Zealand,Mohali,10/25/2006,Stephen Fleming (NZ)
Pakistan,won,51 runs,0,lost,1st,India,Toronto,9/13/1998,
Pakistan,won,51 runs,0,won,1st,New Zealand,Faisalabad,12/3/2003,
Pakistan,won,51 runs,0,won,1st,New Zealand,Sharjah,4/11/2002,
Pakistan,won,51 runs,0,won,1st,West Indies,Sharjah,2/15/2002,
Sri Lanka,lost,51 runs,0,won,2nd,India,Pune,3/30/1999,
Sri Lanka,won,51 runs,0,won,1st,Australia,Sydney,1/22/2006,
Sri Lanka,won,51 runs,0,won,1st,India,Brisbane,2/21/2012,
Sri Lanka,won,51 runs,0,won,1st,Pakistan,Sharjah,4/7/1997,
West Indies,lost,51 runs,0,lost,2nd,Pakistan,Sharjah,2/15/2002,
India,lost,52 runs,0,lost,2nd,Pakistan,Toronto,9/23/1996,
New Zealand,lost,52 runs,0,lost,2nd,Sri Lanka,Hyderabad (Deccan),5/20/1997,Stephen Fleming (NZ)
Pakistan,lost,52 runs,0,lost,2nd,South Africa,Durban,4/3/1998,
Pakistan,won,52 runs,0,won,1st,India,Toronto,9/23/1996,
South Africa,won,52 runs,0,won,1st,Pakistan,Durban,4/3/1998,
Sri Lanka,won,52 runs,0,won,1st,New Zealand,Hyderabad (Deccan),5/20/1997,Stephen Fleming (NZ)
Australia,won,53 runs,0,won,1st,Sri Lanka,Bridgetown,4/28/2007,
India,won,53 runs,0,won,1st,New Zealand,Napier,3/3/2009,Daniel Vettori (NZ)
New Zealand,lost,53 runs,0,lost,2nd,India,Napier,3/3/2009,Daniel Vettori (NZ)
South Africa,won,53 runs,0,lost,1st,West Indies,Port of Spain,5/12/2001,
Sri Lanka,lost,53 runs,0,lost,2nd,Australia,Bridgetown,4/28/2007,
West Indies,lost,53 runs,0,won,2nd,South Africa,Port of Spain,5/12/2001,
Australia,won,54 runs,0,lost,1st,West Indies,Perth,2/3/2013,
England,lost,54 runs,0,lost,2nd,India,Indore,11/17/2008,
India,lost,54 runs,0,lost,2nd,Pakistan,Centurion,9/26/2009,
India,won,54 runs,0,won,1st,England,Indore,11/17/2008,
Pakistan,lost,54 runs,0,lost,2nd,South Africa,Tangier,8/12/2002,
Pakistan,lost,54 runs,0,won,2nd,West Indies,Kingston,3/13/2007,
Pakistan,won,54 runs,0,won,1st,India,Centurion,9/26/2009,
South Africa,won,54 runs,0,won,1st,Pakistan,Tangier,8/12/2002,
West Indies,lost,54 runs,0,won,2nd,Australia,Perth,2/3/2013,
West Indies,won,54 runs,0,lost,1st,Pakistan,Kingston,3/13/2007,
India,won,55 runs,0,won,1st,Pakistan,Toronto,9/18/1996,
New Zealand,lost,55 runs,0,won,2nd,West Indies,Kingston,7/7/2012,
Pakistan,lost,55 runs,0,lost,2nd,India,Toronto,9/18/1996,
South Africa,lost,55 runs,0,won,2nd,Sri Lanka,Centurion,9/22/2009,
South Africa,won,55 runs,0,won,1st,West Indies,Durban,1/27/1999,
Sri Lanka,won,55 runs,0,lost,1st,South Africa,Centurion,9/22/2009,
Sri Lanka,won,55 runs,0,lost,1st,West Indies,Bridgetown,6/7/2003,
West Indies,lost,55 runs,0,lost,2nd,South Africa,Durban,1/27/1999,
West Indies,lost,55 runs,0,won,2nd,Sri Lanka,Bridgetown,6/7/2003,
West Indies,won,55 runs,0,lost,1st,New Zealand,Kingston,7/7/2012,
India,won,56 runs,0,won,1st,West Indies,Port of Spain,6/2/2002,
South Africa,won,56 runs,0,won,1st,Sri Lanka,Pallekele,7/26/2013,
Sri Lanka,lost,56 runs,0,lost,2nd,South Africa,Pallekele,7/26/2013,
West Indies,lost,56 runs,0,lost,2nd,India,Port of Spain,6/2/2002,
Australia,lost,57 runs,0,won,2nd,England,Perth,1/24/2014,
Australia,lost,57 runs,0,won,2nd,India,Bangalore,11/2/2013,
Australia,won,57 runs,0,lost,1st,England,Chester-le-Street,6/23/2005,
Australia,won,57 runs,0,won,1st,England,Perth,2/6/2011,
Australia,won,57 runs,0,won,1st,South Africa,Sydney,2/5/2006,
England,lost,57 runs,0,lost,2nd,Australia,Perth,2/6/2011,
England,lost,57 runs,0,lost,2nd,West Indies,Port of Spain,4/8/1998,
England,lost,57 runs,0,won,2nd,Australia,Chester-le-Street,6/23/2005,
England,won,57 runs,0,lost,1st,Australia,Perth,1/24/2014,
India,won,57 runs,0,lost,1st,Australia,Bangalore,11/2/2013,
New Zealand,won,57 runs,0,lost,1st,Pakistan,Auckland,2/5/2011,Ross Taylor (NZ)
Pakistan,lost,57 runs,0,lost,2nd,South Africa,Dubai (DSC),11/8/2010,
Pakistan,lost,57 runs,0,won,2nd,New Zealand,Auckland,2/5/2011,Ross Taylor (NZ)
South Africa,lost,57 runs,0,lost,2nd,Australia,Sydney,2/5/2006,
South Africa,lost,57 runs,0,won,2nd,Sri Lanka,Nottingham,8/14/1998,
South Africa,won,57 runs,0,won,1st,Pakistan,Dubai (DSC),11/8/2010,
South Africa,won,57 runs,0,won,1st,Sri Lanka,Johannesburg,4/5/1998,
Sri Lanka,lost,57 runs,0,lost,2nd,South Africa,Johannesburg,4/5/1998,
Sri Lanka,won,57 runs,0,lost,1st,South Africa,Nottingham,8/14/1998,
West Indies,won,57 runs,0,won,1st,England,Port of Spain,4/8/1998,
Australia,won,58 runs,0,won,1st,India,Sharjah,4/19/1998,
England,lost,58 runs,0,lost,2nd,New Zealand,Perth,1/30/2007,Stephen Fleming (NZ)
England,won,58 runs,0,lost,1st,West Indies,Birmingham,5/26/2009,
India,lost,58 runs,0,lost,2nd,Australia,Sharjah,4/19/1998,
India,won,58 runs,0,lost,1st,New Zealand,Christchurch,3/8/2009,Brendon McCullum (NZ)
India,won,58 runs,0,won,1st,Pakistan,Visakhapatnam,4/5/2005,
New Zealand,lost,58 runs,0,won,2nd,India,Christchurch,3/8/2009,Brendon McCullum (NZ)
New Zealand,won,58 runs,0,won,1st,England,Perth,1/30/2007,Stephen Fleming (NZ)
New Zealand,won,58 runs,0,won,1st,West Indies,Nelson,1/4/2014,Brendon McCullum (NZ)
Pakistan,lost,58 runs,0,lost,2nd,India,Visakhapatnam,4/5/2005,
Pakistan,lost,58 runs,0,won,2nd,West Indies,Adelaide,1/28/2005,
West Indies,lost,58 runs,0,lost,2nd,New Zealand,Nelson,1/4/2014,Brendon McCullum (NZ)
West Indies,lost,58 runs,0,won,2nd,England,Birmingham,5/26/2009,
West Indies,won,58 runs,0,lost,1st,Pakistan,Adelaide,1/28/2005,
Australia,won,59 runs,0,won,1st,England,Southampton,9/3/2015,
Australia,won,59 runs,0,won,1st,South Africa,Melbourne (Docklands),1/20/2006,
England,lost,59 runs,0,lost,2nd,Australia,Southampton,9/3/2015,
India,lost,59 runs,0,lost,2nd,Pakistan,Colombo (RPS),7/25/2004,
India,won,59 runs,0,lost,1st,West Indies,Dharamsala,10/17/2014,
Pakistan,won,59 runs,0,lost,1st,West Indies,Kingstown,5/18/2005,
Pakistan,won,59 runs,0,won,1st,India,Colombo (RPS),7/25/2004,
South Africa,lost,59 runs,0,lost,2nd,Australia,Melbourne (Docklands),1/20/2006,
West Indies,lost,59 runs,0,won,2nd,India,Dharamsala,10/17/2014,
West Indies,lost,59 runs,0,won,2nd,Pakistan,Kingstown,5/18/2005,
Australia,lost,6 runs,0,lost,2nd,South Africa,Melbourne,1/23/1998,
England,lost,6 runs,0,lost,2nd,South Africa,Cape Town,1/9/1996,
England,won,6 runs,0,won,1st,Pakistan,Rawalpindi,12/21/2005,
England,won,6 runs,0,won,1st,South Africa,Chennai,3/6/2011,
India,lost,6 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),7/22/2001,
India,won,6 runs,0,won,1st,Sri Lanka,Colombo (RPS),7/7/1998,
Pakistan,lost,6 runs,0,lost,2nd,England,Rawalpindi,12/21/2005,
South Africa,lost,6 runs,0,lost,2nd,England,Chennai,3/6/2011,
South Africa,won,6 runs,0,won,1st,Australia,Melbourne,1/23/1998,
South Africa,won,6 runs,0,won,1st,England,Cape Town,1/9/1996,
Sri Lanka,lost,6 runs,0,lost,2nd,India,Colombo (RPS),7/7/1998,
Sri Lanka,won,6 runs,0,won,1st,India,Colombo (RPS),7/22/2001,
Sri Lanka,won,6 runs,0,won,1st,West Indies,Cape Town,2/28/2003,
West Indies,lost,6 runs,0,lost,2nd,Sri Lanka,Cape Town,2/28/2003,
India,won,6 wickets,1,won,2nd,West Indies,Gros Islet,7/3/2009,
West Indies,lost,6 wickets,1,lost,1st,India,Gros Islet,7/3/2009,
England,lost,6 wickets,2,won,1st,Sri Lanka,Colombo (RPS),12/7/2014,
Sri Lanka,won,6 wickets,2,lost,2nd,England,Colombo (RPS),12/7/2014,
Australia,lost,6 wickets,3,lost,1st,India,Nagpur,10/30/2013,
India,won,6 wickets,3,won,2nd,Australia,Nagpur,10/30/2013,
India,lost,6 wickets,4,won,1st,South Africa,East London,2/4/1997,
India,won,6 wickets,4,won,2nd,South Africa,Belfast,7/1/2007,
Pakistan,lost,6 wickets,4,won,1st,Sri Lanka,Colombo (RPS),7/9/2000,
South Africa,lost,6 wickets,4,lost,1st,India,Belfast,7/1/2007,
South Africa,won,6 wickets,4,lost,2nd,India,East London,2/4/1997,
Sri Lanka,won,6 wickets,4,lost,2nd,Pakistan,Colombo (RPS),7/9/2000,
Australia,won,6 wickets,5,lost,2nd,England,Melbourne,1/16/2011,
England,lost,6 wickets,5,won,1st,Australia,Melbourne,1/16/2011,
India,won,6 wickets,5,won,2nd,South Africa,Belfast,6/29/2007,
New Zealand,lost,6 wickets,5,lost,1st,West Indies,Gros Islet,6/8/2002,Stephen Fleming (NZ)
South Africa,lost,6 wickets,5,lost,1st,India,Belfast,6/29/2007,
West Indies,won,6 wickets,5,won,2nd,New Zealand,Gros Islet,6/8/2002,Stephen Fleming (NZ)
Australia,lost,6 wickets,6,lost,1st,England,Lord's,5/25/1997,
England,won,6 wickets,6,won,2nd,Australia,Lord's,5/25/1997,
India,lost,6 wickets,6,won,1st,Pakistan,Kolkata,11/13/2004,
